PREDICTOR PSHARE
PC            OUTCOME    PREDICTION    CORRECT/INCORRECT
3086629604       T           N               I
3086629599       T           N               I
3086629604       N           N               C
3086629599       T           N               I
3086629604       N           N               C
3086629599       T           T               C
3086629604       N           N               C
3086629599       T           T               C
3086629604       N           N               C
3086629599       T           T               C
3086629604       N           N               C
3086629599       T           T               C
3086629604       N           N               C
3086629599       T           T               C
3086629604       N           N               C
3086629599       T           T               C
3086629604       N           N               C
3086629599       T           T               C
3086629604       N           N               C
3086629599       T           T               C
3086629604       N           N               C
3086629599       T           T               C
3086629604       N           N               C
3086629599       T           T               C
3086629604       N           N               C
3086629599       T           T               C
3086629604       N           N               C
3086629616       N           N               C
3086629644       N           N               C
3086629604       T           N               I
3086629616       N           N               C
3086629644       N           N               C
3086629604       T           N               I
3086629616       N           N               C
3086629644       N           N               C
3086629604       T           N               I
3086629616       N           N               C
3086629644       N           N               C
3086629656       N           N               C
3086629666       N           N               C
3086629679       N           T               I
3086629692       N           N               C
3086629705       N           N               C
3086629718       N           N               C
3086629731       N           T               I
3086629744       N           N               C
3086629757       N           N               C
3086629763       N           N               C
3086629777       N           N               C
3086629789       N           N               C
3086629803       N           N               C
3086629823       T           N               I
3086629843       T           N               I
3086629857       N           N               C
3086629871       N           T               I
3086630083       T           N               I
3086630117       N           N               C
3086630131       N           T               I
3086630179       N           N               C
3086630192       N           N               C
3086630201       N           N               C
3086630214       N           N               C
3086630230       N           N               C
3086630214       T           N               I
3086630230       N           N               C
3086630214       T           N               I
3086630230       N           N               C
3086630214       T           N               I
3086630230       N           N               C
3086630214       T           N               I
3086630230       N           N               C
3086630214       T           N               I
3086630230       N           N               C
3086630214       T           N               I
3086630230       N           N               C
3086630214       T           N               I
3086630230       N           N               C
3086630214       T           N               I
3086630230       N           N               C
3086630214       T           N               I
3086630230       N           N               C
3086630214       T           N               I
3086630230       N           N               C
3086630240       N           N               C
3086630307       T           N               I
3086630273       T           N               I
3086630293       N           N               C
3086630307       N           N               C
3086630273       T           N               I
3086630293       N           N               C
3086630307       N           N               C
3086630273       T           N               I
3086630293       N           N               C
3086630307       N           N               C
3086630273       T           N               I
3086630293       N           N               C
3086630307       N           N               C
3086630273       T           N               I
3086630293       N           N               C
3086630307       N           N               C
3086630273       T           N               I
3086630293       N           N               C
3086630307       N           N               C
3086662314       N           N               C
3086703265       N           N               C
3086703274       N           N               C
3086703274       T           N               I
3086703274       T           N               I
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703274       T           T               C
3086703313       N           N               C
3086703325       N           N               C
3086703749       N           N               C
3086703325       T           N               I
3086703355       N           N               C
3086703325       T           N               I
3086703642       N           T               I
3086703325       T           T               C
3086703551       N           N               C
3086703325       T           T               C
3086703670       N           T               I
3086703325       T           T               C
